appt_01_patient_name_textfield	appt_02_id_card_textfield	appt_03_phone_textfield	appt_04_department_dropdown	state.appointmentType	appt_06_date_textfield	appt_07_time_textfield	appt_08_insurance_switch	appt_09_note_textfield
invalid	invalid	invalid	surgery	type_radio_opd	15/01/2024	14:30	on	valid
invalid	valid	valid	pediatrics	type_radio_tele	null	null	off	invalid
valid	valid	invalid	orthopedics	type_radio_tele	03/03/2026	14:30	on	invalid
valid	invalid	valid	ophthalmology	type_radio_opd	15/12/2028	14:30	off	valid
valid	valid	invalid	ent	type_radio_opd	15/01/2024	18:00	off	invalid
invalid	invalid	valid	orthopedics	type_radio_tele	15/12/2028	09:00	on	valid
valid	invalid	invalid	obstetrics	type_radio_opd	null	14:30	off	valid
invalid	invalid	valid	pediatrics	type_radio_opd	03/03/2026	18:00	on	valid
valid	invalid	invalid	internal_medicine	type_radio_opd	null	09:00	on	invalid
invalid	valid	valid	internal_medicine	type_radio_opd	03/03/2026	null	off	valid
valid	valid	valid	surgery	type_radio_tele	null	09:00	off	invalid
valid	valid	invalid	ophthalmology	type_radio_tele	15/01/2024	null	on	invalid
valid	valid	invalid	pediatrics	type_radio_tele	15/12/2028	09:00	on	invalid
valid	valid	valid	internal_medicine	type_radio_tele	15/12/2028	18:00	on	valid
invalid	invalid	valid	orthopedics	type_radio_opd	15/01/2024	null	off	valid
invalid	valid	valid	obstetrics	type_radio_tele	03/03/2026	18:00	on	invalid
valid	invalid	invalid	internal_medicine	type_radio_opd	15/01/2024	14:30	off	valid
valid	valid	valid	pediatrics	type_radio_opd	15/01/2024	14:30	on	valid
valid	valid	invalid	orthopedics	type_radio_tele	null	18:00	off	valid
valid	valid	invalid	obstetrics	type_radio_tele	15/01/2024	09:00	off	invalid
invalid	invalid	valid	ent	type_radio_tele	03/03/2026	09:00	on	valid
invalid	valid	valid	surgery	type_radio_opd	15/12/2028	null	on	valid
invalid	valid	invalid	ophthalmology	type_radio_tele	null	18:00	off	invalid
invalid	invalid	valid	surgery	type_radio_opd	03/03/2026	18:00	on	valid
invalid	valid	valid	obstetrics	type_radio_tele	15/12/2028	null	off	invalid
invalid	invalid	valid	ent	type_radio_tele	15/12/2028	null	on	invalid
invalid	valid	invalid	ent	type_radio_tele	null	14:30	on	valid
invalid	valid	valid	ophthalmology	type_radio_opd	03/03/2026	09:00	off	invalid
