state.appointmentType	appt_01_patient_name_textfield	appt_02_id_card_textfield	appt_03_phone_textfield	appt_04_department_dropdown	appt_06_date_textfield	appt_07_time_textfield	appt_08_insurance_switch	appt_09_note_textfield
"type_radio_opd"	invalid	invalid	invalid	"surgery"	"null"	"14:30"	on	invalid
"unselected"	invalid	invalid	invalid	"internal_medicine"	"null"	"18:00"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"surgery"	"15/01/2001"	"null"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"ophthalmology"	"15/01/2030"	"18:00"	on	invalid
"unselected"	invalid	invalid	invalid	"ent"	"02/06/2026"	"null"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"surgery"	"02/06/2026"	"09:00"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"pediatrics"	"null"	"14:30"	off	invalid
"unselected"	invalid	invalid	invalid	"pediatrics"	"15/01/2001"	"09:00"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"internal_medicine"	"15/01/2030"	"14:30"	on	invalid
"unselected"	invalid	invalid	invalid	"internal_medicine"	"15/01/2030"	"null"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"ent"	"15/01/2030"	"09:00"	off	invalid
"type_radio_opd"	invalid	invalid	invalid	"orthopedics"	"02/06/2026"	"18:00"	off	invalid
"unselected"	invalid	invalid	invalid	"obstetrics"	"02/06/2026"	"14:30"	on	invalid
"type_radio_tele"	invalid	invalid	invalid	"orthopedics"	"null"	"null"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"ent"	"null"	"09:00"	off	invalid
"type_radio_opd"	invalid	invalid	invalid	"internal_medicine"	"15/01/2001"	"18:00"	on	invalid
"type_radio_tele"	invalid	invalid	invalid	"ophthalmology"	"02/06/2026"	"09:00"	off	invalid
"type_radio_opd"	invalid	invalid	invalid	"ent"	"15/01/2001"	"18:00"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"ophthalmology"	"15/01/2001"	"null"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"obstetrics"	"15/01/2030"	"18:00"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"internal_medicine"	"02/06/2026"	"09:00"	off	invalid
"type_radio_tele"	invalid	invalid	invalid	"obstetrics"	"null"	"09:00"	off	invalid
"type_radio_opd"	invalid	invalid	invalid	"pediatrics"	"15/01/2030"	"18:00"	on	invalid
"unselected"	invalid	invalid	invalid	"pediatrics"	"02/06/2026"	"null"	off	invalid
"unselected"	invalid	invalid	invalid	"surgery"	"15/01/2030"	"18:00"	on	invalid
"unselected"	invalid	invalid	invalid	"ent"	"15/01/2001"	"14:30"	off	invalid
"unselected"	invalid	invalid	invalid	"ophthalmology"	"null"	"14:30"	off	invalid
"unselected"	invalid	invalid	invalid	"orthopedics"	"15/01/2030"	"14:30"	on	invalid
"type_radio_opd"	invalid	invalid	invalid	"obstetrics"	"15/01/2001"	"null"	off	invalid
"type_radio_opd"	invalid	invalid	invalid	"orthopedics"	"15/01/2001"	"09:00"	off	invalid
