customer_06_agree_terms_checkbox	state.ageRange	customer_01_title_dropdown	customer_02_firstname_textfield	customer_03_phone_textfield	customer_04_lastname_textfield	customer_07_subscribe_newsletter_checkbox
unchecked	age_10_20_radio	Dr.	valid	invalid	valid	unchecked
checked	age_30_40_radio	Mr.	invalid	valid	invalid	checked
unchecked	age_40_50_radio	Mrs.	valid	valid	valid	checked
checked	age_30_40_radio	Dr.	invalid	invalid	invalid	unchecked
unchecked	age_40_50_radio	Ms.	invalid	invalid	invalid	unchecked
checked	age_40_50_radio	Dr.	invalid	invalid	valid	checked
checked	age_10_20_radio	Mrs.	invalid	valid	invalid	unchecked
unchecked	age_10_20_radio	Mr.	valid	invalid	valid	checked
checked	age_40_50_radio	Mr.	valid	invalid	invalid	unchecked
unchecked	age_30_40_radio	Mrs.	valid	invalid	valid	checked
checked	age_30_40_radio	Dr.	invalid	valid	valid	unchecked
checked	age_30_40_radio	Ms.	valid	valid	valid	checked
unchecked	age_10_20_radio	Ms.	invalid	valid	valid	unchecked
