job_01_title_textfield	job_02_company_textfield	job_03_location_textfield	job_04_category_dropdown	job_05_type_dropdown	job_06_exp_dropdown	job_07_salary_min_textfield	job_08_salary_max_textfield	job_11_remote_switch	job_09_desc_textfield	job_10_skills_textfield
invalid	valid	valid	Finance	Part-time	Senior	invalid	invalid	off	valid	invalid
valid	invalid	invalid	Education	Full-time	Mid-Level	valid	valid	on	invalid	valid
valid	valid	invalid	Healthcare	Freelance	Junior	invalid	valid	off	invalid	invalid
invalid	invalid	valid	Finance	Full-time	Entry_Level	valid	invalid	on	valid	valid
invalid	invalid	invalid	Education	Contract	Junior	valid	invalid	off	valid	invalid
valid	valid	valid	Engineering	Contract	Senior	invalid	valid	on	invalid	valid
valid	invalid	invalid	Engineering	Part-time	Entry_Level	valid	valid	on	valid	invalid
valid	valid	valid	Finance	Internship	Mid-Level	invalid	invalid	off	invalid	valid
invalid	valid	invalid	IT_&_Tech	Full-time	Entry_Level	invalid	valid	off	invalid	invalid
valid	invalid	valid	IT_&_Tech	Part-time	Junior	valid	invalid	on	valid	valid
invalid	valid	invalid	Marketing	Part-time	Mid-Level	valid	valid	off	invalid	invalid
invalid	invalid	valid	Engineering	Freelance	Mid-Level	valid	invalid	on	valid	valid
invalid	invalid	valid	Education	Freelance	Senior	invalid	invalid	off	valid	valid
invalid	invalid	invalid	Engineering	Internship	Senior	valid	valid	on	valid	invalid
valid	invalid	invalid	IT_&_Tech	Freelance	Entry_Level	valid	invalid	on	valid	valid
invalid	valid	invalid	Finance	Contract	Mid-Level	valid	valid	on	invalid	invalid
invalid	invalid	valid	Healthcare	Part-time	Senior	valid	invalid	on	valid	valid
valid	invalid	valid	Marketing	Freelance	Senior	invalid	invalid	on	valid	valid
valid	valid	valid	Marketing	Full-time	Junior	invalid	valid	off	invalid	valid
invalid	valid	valid	Marketing	Internship	Entry_Level	invalid	valid	off	invalid	invalid
valid	invalid	valid	IT_&_Tech	Contract	Senior	invalid	invalid	off	valid	valid
invalid	invalid	valid	Finance	Freelance	Junior	valid	invalid	off	invalid	invalid
invalid	valid	valid	Marketing	Contract	Entry_Level	valid	valid	on	valid	valid
invalid	invalid	valid	Healthcare	Contract	Entry_Level	valid	invalid	off	valid	invalid
invalid	valid	invalid	Education	Internship	Junior	invalid	invalid	off	invalid	valid
valid	invalid	valid	Healthcare	Internship	Mid-Level	valid	valid	off	valid	valid
valid	valid	invalid	Healthcare	Full-time	Senior	valid	invalid	off	invalid	valid
invalid	valid	invalid	Education	Part-time	Entry_Level	invalid	invalid	on	valid	invalid
valid	valid	invalid	Engineering	Full-time	Junior	invalid	invalid	off	valid	invalid
invalid	valid	invalid	IT_&_Tech	Internship	Mid-Level	invalid	invalid	off	invalid	invalid
