search_01_keyword_textfield	search_02_category_dropdown	search_03_type_dropdown	search_04_salary_min_textfield	search_05_remote_switch
invalid	"IT_&_Tech"	"null"	invalid	off
invalid	"null"	"null"	invalid	on
invalid	"Finance"	"Internship"	invalid	on
invalid	"Marketing"	"null"	invalid	off
invalid	"Healthcare"	"Freelance"	invalid	on
invalid	"null"	"Internship"	invalid	off
invalid	"Marketing"	"Full-time"	invalid	on
invalid	"Marketing"	"Part-time"	invalid	off
invalid	"Education"	"Freelance"	invalid	off
invalid	"Healthcare"	"Contract"	invalid	off
invalid	"Engineering"	"Contract"	invalid	on
invalid	"Engineering"	"Full-time"	invalid	off
invalid	"null"	"Part-time"	invalid	on
invalid	"IT_&_Tech"	"Full-time"	invalid	on
invalid	"IT_&_Tech"	"Freelance"	invalid	off
invalid	"Finance"	"Full-time"	invalid	off
invalid	"Engineering"	"Part-time"	invalid	on
invalid	"Engineering"	"Freelance"	invalid	on
invalid	"null"	"Contract"	invalid	on
invalid	"Education"	"Full-time"	invalid	on
invalid	"IT_&_Tech"	"Part-time"	invalid	off
invalid	"Finance"	"Part-time"	invalid	on
invalid	"Healthcare"	"Part-time"	invalid	on
invalid	"Marketing"	"Freelance"	invalid	on
invalid	"Healthcare"	"null"	invalid	on
invalid	"Engineering"	"Internship"	invalid	off
invalid	"Finance"	"Freelance"	invalid	off
invalid	"Finance"	"null"	invalid	off
invalid	"Education"	"Part-time"	invalid	off
invalid	"Education"	"Contract"	invalid	off
invalid	"Finance"	"Contract"	invalid	on
invalid	"Education"	"null"	invalid	off
invalid	"null"	"Freelance"	invalid	off
invalid	"Marketing"	"Internship"	invalid	on
invalid	"null"	"Full-time"	invalid	on
invalid	"Marketing"	"Contract"	invalid	on
invalid	"Healthcare"	"Internship"	invalid	on
invalid	"Healthcare"	"Full-time"	invalid	on
invalid	"IT_&_Tech"	"Internship"	invalid	off
invalid	"Engineering"	"null"	invalid	on
invalid	"IT_&_Tech"	"Contract"	invalid	on
invalid	"Education"	"Internship"	invalid	off
