product_07_instock_checkbox	state.priceRange	product_02_name_textfield	product_03_category_dropdown	product_04_sku_textfield	product_05_quantity_textfield	product_08_featured_checkbox
checked	price_100_500_radio	invalid	Electronics	valid	invalid	checked
unchecked	price_0_100_radio	valid	Food	invalid	valid	unchecked
checked	price_500_plus_radio	valid	Food	valid	valid	checked
unchecked	price_100_500_radio	invalid	Clothing	invalid	invalid	unchecked
checked	price_0_100_radio	invalid	Clothing	valid	valid	checked
unchecked	price_500_plus_radio	valid	Electronics	invalid	invalid	unchecked
checked	price_100_500_radio	valid	Books	valid	valid	unchecked
checked	price_100_500_radio	invalid	Food	invalid	invalid	checked
unchecked	price_0_100_radio	invalid	Electronics	valid	invalid	checked
unchecked	price_500_plus_radio	invalid	Books	invalid	invalid	checked
checked	price_500_plus_radio	valid	Clothing	valid	invalid	checked
unchecked	price_0_100_radio	invalid	Electronics	invalid	valid	checked
checked	price_0_100_radio	invalid	Books	valid	invalid	unchecked
