prop_01_title_textfield	prop_02_type_dropdown	prop_03_location_textfield	prop_04_district_textfield	prop_05_price_textfield	prop_06_bedrooms_dropdown	prop_07_bathrooms_dropdown	prop_08_area_textfield	prop_09_floor_textfield	prop_10_furnished_switch	prop_11_desc_textfield	prop_12_contact_textfield
valid	House	valid	invalid	valid	4+	3	invalid	valid	on	invalid	invalid
invalid	Land	invalid	valid	invalid	4+	2	valid	invalid	off	valid	valid
invalid	Condo	invalid	invalid	valid	2	4+	valid	invalid	on	invalid	valid
valid	Land	valid	valid	invalid	Studio	1	invalid	valid	on	valid	invalid
valid	Condo	valid	invalid	invalid	4+	4+	valid	valid	off	valid	invalid
valid	Commercial	invalid	valid	valid	Studio	3	invalid	invalid	off	invalid	valid
invalid	Condo	invalid	valid	invalid	1	1	invalid	invalid	off	invalid	invalid
invalid	Townhouse	valid	invalid	valid	3	2	invalid	valid	on	valid	valid
valid	Townhouse	invalid	valid	invalid	2	3	valid	valid	off	valid	invalid
invalid	House	valid	valid	valid	2	1	valid	invalid	off	valid	valid
valid	House	invalid	valid	invalid	3	2	valid	invalid	off	invalid	invalid
valid	Land	invalid	valid	valid	2	4+	invalid	valid	off	invalid	valid
valid	Townhouse	valid	invalid	valid	1	4+	valid	valid	on	invalid	valid
invalid	Commercial	valid	invalid	invalid	3	1	valid	valid	on	valid	invalid
invalid	Townhouse	invalid	invalid	valid	Studio	2	valid	invalid	on	valid	valid
invalid	House	valid	valid	valid	1	3	invalid	valid	on	valid	valid
invalid	Condo	valid	invalid	valid	Studio	3	invalid	invalid	on	valid	valid
invalid	Commercial	invalid	invalid	invalid	2	2	valid	invalid	on	valid	valid
valid	Condo	invalid	invalid	invalid	3	4+	valid	invalid	off	valid	invalid
valid	Land	valid	invalid	valid	1	2	valid	valid	off	invalid	valid
invalid	Land	valid	valid	invalid	3	3	valid	invalid	off	invalid	valid
invalid	Townhouse	valid	invalid	invalid	4+	1	invalid	valid	off	valid	invalid
invalid	Commercial	invalid	valid	valid	1	4+	invalid	invalid	off	valid	invalid
valid	Condo	valid	valid	invalid	1	2	invalid	valid	on	invalid	invalid
valid	House	invalid	invalid	invalid	Studio	4+	valid	invalid	on	valid	invalid
invalid	Commercial	invalid	valid	invalid	4+	1	invalid	valid	on	valid	invalid
