prop_01_title_textfield	prop_02_type_dropdown	prop_03_location_textfield	prop_04_district_textfield	prop_05_price_textfield	prop_06_bedrooms_dropdown	prop_07_bathrooms_dropdown	prop_08_area_textfield	prop_09_floor_textfield	prop_10_furnished_switch	prop_11_desc_textfield	prop_12_contact_textfield
invalid	"Condo"	invalid	invalid	invalid	"2"	"3"	invalid	invalid	off	invalid	invalid
invalid	"Land"	invalid	invalid	invalid	"4+"	"4+"	invalid	invalid	on	invalid	invalid
invalid	"Land"	invalid	invalid	invalid	"Studio"	"2"	invalid	invalid	off	invalid	invalid
invalid	"Commercial"	invalid	invalid	invalid	"Studio"	"1"	invalid	invalid	on	invalid	invalid
invalid	"Condo"	invalid	invalid	invalid	"4+"	"1"	invalid	invalid	off	invalid	invalid
invalid	"Land"	invalid	invalid	invalid	"3"	"3"	invalid	invalid	on	invalid	invalid
invalid	"Townhouse"	invalid	invalid	invalid	"1"	"4+"	invalid	invalid	off	invalid	invalid
invalid	"House"	invalid	invalid	invalid	"4+"	"2"	invalid	invalid	on	invalid	invalid
invalid	"House"	invalid	invalid	invalid	"Studio"	"3"	invalid	invalid	off	invalid	invalid
invalid	"Land"	invalid	invalid	invalid	"2"	"1"	invalid	invalid	on	invalid	invalid
invalid	"Land"	invalid	invalid	invalid	"1"	"3"	invalid	invalid	on	invalid	invalid
invalid	"House"	invalid	invalid	invalid	"1"	"1"	invalid	invalid	on	invalid	invalid
invalid	"Commercial"	invalid	invalid	invalid	"2"	"2"	invalid	invalid	off	invalid	invalid
invalid	"Commercial"	invalid	invalid	invalid	"4+"	"3"	invalid	invalid	on	invalid	invalid
invalid	"House"	invalid	invalid	invalid	"2"	"4+"	invalid	invalid	on	invalid	invalid
invalid	"Townhouse"	invalid	invalid	invalid	"2"	"1"	invalid	invalid	on	invalid	invalid
invalid	"Commercial"	invalid	invalid	invalid	"1"	"4+"	invalid	invalid	on	invalid	invalid
invalid	"Condo"	invalid	invalid	invalid	"3"	"4+"	invalid	invalid	off	invalid	invalid
invalid	"Condo"	invalid	invalid	invalid	"Studio"	"2"	invalid	invalid	on	invalid	invalid
invalid	"Townhouse"	invalid	invalid	invalid	"Studio"	"4+"	invalid	invalid	on	invalid	invalid
invalid	"Condo"	invalid	invalid	invalid	"1"	"2"	invalid	invalid	off	invalid	invalid
invalid	"Townhouse"	invalid	invalid	invalid	"3"	"2"	invalid	invalid	off	invalid	invalid
invalid	"Townhouse"	invalid	invalid	invalid	"4+"	"3"	invalid	invalid	on	invalid	invalid
invalid	"House"	invalid	invalid	invalid	"3"	"1"	invalid	invalid	off	invalid	invalid
invalid	"Commercial"	invalid	invalid	invalid	"3"	"1"	invalid	invalid	off	invalid	invalid
