search_01_location_textfield	search_02_type_dropdown	search_03_bedrooms_dropdown	search_04_min_price_textfield	search_05_max_price_textfield	search_06_min_area_textfield	search_07_furnished_switch
invalid	"townhouse"	"4plus"	invalid	invalid	invalid	on
invalid	"commercial"	"2"	invalid	invalid	invalid	off
invalid	"commercial"	"1"	invalid	invalid	invalid	on
invalid	"detached"	"studio"	invalid	invalid	invalid	on
invalid	"condo"	"1"	invalid	invalid	invalid	off
invalid	"townhouse"	"studio"	invalid	invalid	invalid	off
invalid	"townhouse"	"2"	invalid	invalid	invalid	on
invalid	"detached"	"3"	invalid	invalid	invalid	off
invalid	"detached"	"4plus"	invalid	invalid	invalid	off
invalid	"commercial"	"studio"	invalid	invalid	invalid	on
invalid	"townhouse"	"1"	invalid	invalid	invalid	on
invalid	"land"	"1"	invalid	invalid	invalid	on
invalid	"condo"	"studio"	invalid	invalid	invalid	on
invalid	"land"	"studio"	invalid	invalid	invalid	off
invalid	"commercial"	"3"	invalid	invalid	invalid	on
invalid	"commercial"	"4plus"	invalid	invalid	invalid	off
invalid	"detached"	"2"	invalid	invalid	invalid	off
invalid	"condo"	"3"	invalid	invalid	invalid	on
invalid	"land"	"2"	invalid	invalid	invalid	on
invalid	"land"	"4plus"	invalid	invalid	invalid	on
invalid	"townhouse"	"3"	invalid	invalid	invalid	on
invalid	"condo"	"4plus"	invalid	invalid	invalid	off
invalid	"detached"	"1"	invalid	invalid	invalid	on
invalid	"land"	"3"	invalid	invalid	invalid	on
invalid	"condo"	"2"	invalid	invalid	invalid	off
